MPI-rank    OMP-thread-num   ns/day
60    1    60.401
60    1    57.514
60    1    59.889
60    1    58.188
60    1    59.506
30    2    48.970
30    2    53.741
30    2    54.615
30    2    54.704
30    2    54.629
20    3    57.042
20    3    57.078
20    3    57.535
20    3    57.106
20    3    56.552
15    4    54.266
15    4    51.378
15    4    53.394
15    4    53.343
15    4    51.603
12    5    47.068
12    5    47.157
12    5    47.116
12    5    46.137
12    5    47.046
10    6    46.368
10    6    46.226
10    6    46.296
10    6    47.030
10    6    46.303
6    10    48.498
6    10    48.557
6    10    48.759
6    10    47.774
6    10    47.266
5    12    43.119
5    12    43.148
5    12    44.314
5    12    45.995
4    15    43.749
4    15    43.140
4    15    44.699
4    15    44.312
4    15    43.874
3    20    41.113
3    20    40.600
3    20    39.837
3    20    39.777
3    20    40.324
